pt_GeV,eta,phi_rad,m_GeV
0.0072007794,0.9391963,0.1860602,0.09725517
0.053657394,0.3019738,0.9555989,0.0022977293
0.013563884,0.8587431,0.19987914,0.1857521
0.045711957,0.7155457,0.4345787,0.086017326
0.024164403,0.84728175,0.2730106,0.10887508
0.018415382,0.878451,0.24842255,0.14186065
0.09530681,0.33767593,0.86962044,0.01236413
0.025484191,0.7829861,0.23764545,0.2859548
0.0102018295,0.9190745,0.18509737,0.106404394
0.017024908,0.85116,0.21908133,0.18922307
0.08502423,0.38772488,0.80733556,0.024597649
0.032991864,0.8190811,0.34045514,0.090003595
0.11722401,0.41756865,0.8325322,0.027955204
0.03502714,0.7782148,0.29654607,0.09084728
0.018638114,0.84273946,0.27353078,0.0750214
0.070229545,0.30378574,0.9466068,0.00475841
0.010679804,0.91365093,0.17749402,0.13915572
0.012518769,0.9073608,0.2118062,0.07674531
0.06677241,0.29233554,0.9663526,0.0022333858
0.016780455,0.83696723,0.22823203,0.1786628
0.017542532,0.8149751,0.22170603,0.20554098
0.079716265,0.3543478,0.7534527,0.024131708
0.065197565,0.30433998,0.9853408,0.00089130725
0.08605849,0.37195322,0.8277704,0.024378436
0.104937516,0.35381937,0.84616756,0.016919347
0.01695737,0.8698134,0.28171054,0.093365036
0.06275517,0.6480873,0.47055677,0.082148276
0.019161653,0.8672522,0.26832148,0.10605732
0.03733938,0.78075165,0.34084797,0.13665396
0.021467125,0.8330237,0.2689382,0.24942261
0.105074145,0.345212,0.8435752,0.0147380065
0.026893597,0.83310837,0.31845745,0.08070768
0.006745437,0.9363651,0.15358211,0.08386434
0.015137865,0.8821669,0.25321954,0.1965683
0.042526152,0.78384477,0.4140105,0.07766437
0.02141867,0.8295665,0.21581557,0.21567374
0.07842756,0.35076356,0.84066844,0.014297174
0.02312341,0.84168065,0.2937666,0.12218761
0.006667248,0.94336665,0.16043703,0.087501384
0.020301841,0.8842083,0.228133,0.14426687
0.009563156,0.9299806,0.1632608,0.14546376
0.091288805,0.39304206,0.7497498,0.034267377
0.012072953,0.89128506,0.17316508,0.16616084
0.017132275,0.862926,0.23990996,0.20127556
0.021076178,0.8453099,0.2535334,0.28223056
0.008967817,0.9285431,0.1881044,0.06942816
0.009530324,0.92491776,0.18978943,0.14255762
0.021414276,0.8533347,0.2527028,0.18004815
0.008374187,0.93007815,0.16700062,0.1103513
0.088532634,0.38486722,0.6867121,0.042986237
0.07707919,0.30079266,0.91313916,0.005841733
0.0076379874,0.9337916,0.15167095,0.09267426
0.011080554,0.87821895,0.21424265,0.1289824
0.0075732186,0.93233055,0.16249591,0.10367677
0.0081630405,0.93954164,0.15114883,0.11233019
0.005371832,0.9517312,0.1580469,0.06069925
0.07914073,0.43954286,0.6379075,0.07007854
0.0924254,0.3452182,0.7772781,0.027537536
0.024163084,0.8348789,0.22022635,0.5428578
0.012735749,0.8982214,0.20282257,0.08962078
0.019381447,0.7951497,0.25210994,0.2096704
0.08018247,0.41505417,0.6192422,0.052461103
0.023021521,0.7793553,0.24735552,0.34929734
0.016671449,0.8283534,0.23250034,0.17557286
0.05851326,0.61873937,0.47100222,0.07546973
0.016523544,0.89683604,0.22759654,0.12133308
0.075025104,0.3687116,0.6800712,0.033467162
0.019941421,0.8011635,0.2422533,0.25980267
0.10590999,0.5626555,0.7823335,0.03315888
0.023687856,0.8183065,0.29052117,0.10847111
0.09018273,0.41936222,0.70194095,0.04537726
0.027123513,0.77709574,0.22019432,0.49524212
0.016137112,0.867026,0.20591882,0.21989305
0.014661519,0.84259194,0.21954985,0.15536715
0.009830404,0.92742187,0.17056854,0.14762658
0.07623604,0.3174814,0.8021453,0.020839741
0.007861481,0.9240207,0.16650513,0.108406596
0.030492114,0.8235747,0.30428156,0.08518146
0.010627905,0.9123266,0.22894117,0.110251814
0.06721214,0.31939226,0.8801184,0.012174466
0.10185039,0.40713546,0.71234983,0.040002838
0.015797693,0.80967057,0.22628762,0.18832883
0.01309211,0.91549915,0.19391793,0.15319443
0.010763902,0.90150464,0.22986679,0.13317083
0.024462711,0.75938106,0.23226164,0.38898194
0.014788284,0.86475235,0.2327682,0.15714118
0.098175034,0.49743208,0.62233704,0.10045744
0.010136155,0.9259956,0.2049175,0.08805054
0.0065071946,0.94599986,0.16156429,0.07515585
0.013509901,0.88825446,0.18320471,0.17252064
0.010056792,0.91179943,0.19708622,0.07141079
0.008864021,0.91862553,0.18136765,0.07966804
0.11850858,0.3961659,0.776414,0.030783487
0.008444828,0.9302626,0.16365421,0.11632908
0.017044535,0.8752968,0.21744823,0.23413225
0.050942022,0.6748448,0.38225612,0.10622141
0.0887856,0.33276075,0.8366064,0.014038313
0.014743775,0.88075304,0.20606413,0.20967756
0.010224716,0.92994565,0.2054018,0.086627126
0.017147852,0.8657106,0.36774626,0.067924835
0.010935662,0.92252207,0.17311895,0.15780272
0.012037744,0.88111794,0.1884725,0.1468979
0.09764992,0.33244613,0.8375357,0.014493244
0.015926925,0.8641727,0.22064537,0.17270578
0.010177168,0.904371,0.18865636,0.11810118
0.0059214174,0.95391,0.1487482,0.075762264
0.01301407,0.8880326,0.20941426,0.16702636
0.011016277,0.8957974,0.17364053,0.14354306
0.06580635,0.5791539,0.49567595,0.06577995
0.019195689,0.81951916,0.19966017,0.33088762
0.09500542,0.3456552,0.78819835,0.023855928
0.0055602533,0.95108116,0.15119785,0.068222694
0.019016314,0.8733668,0.26324293,0.094786264
0.014715404,0.8583664,0.2829483,0.17375118
0.009929263,0.9147024,0.18462875,0.1292585
0.05908972,0.6403389,0.48448485,0.12546752
0.013841527,0.8965473,0.22899522,0.097617775
0.009374678,0.9145514,0.20044045,0.1031415
0.042409495,0.7268001,0.42875522,0.073983215
0.009274452,0.93873495,0.16775243,0.11959493
0.0671516,0.34528664,0.87810814,0.009311195
0.075931385,0.39359337,0.6524948,0.051183734
0.0137908505,0.8856694,0.238758,0.16641086
0.04002881,0.7799875,0.4229728,0.06272271
0.018892419,0.8803577,0.28169537,0.09495001
0.008601141,0.9315636,0.17105804,0.106956504
0.016415639,0.8829432,0.20475155,0.22235884
0.014713301,0.8767134,0.23242415,0.07282144
0.06966968,0.42561415,0.62113005,0.055606544
0.018639704,0.83695275,0.31774414,0.10349621
0.0203049,0.84550625,0.26345628,0.2590494
0.008853906,0.914481,0.17594251,0.08844095
0.017158011,0.8383885,0.21825553,0.19499181
0.11510411,0.45006323,0.7626172,0.039097887
0.015139379,0.8714247,0.25969043,0.0691414
0.008864792,0.9156218,0.17386982,0.12621473
0.00912087,0.916024,0.2028813,0.08127832
0.008727928,0.9228215,0.19114034,0.11570614
0.015629346,0.87544477,0.2743864,0.10981825
0.01647424,0.8187513,0.23368955,0.18713202
0.06439008,0.32083985,0.85353,0.010590426
0.062865615,0.5972842,0.47373864,0.1156576
0.019051734,0.7955487,0.23883232,0.25889552
0.008978688,0.92879146,0.18219097,0.105373554
0.009260248,0.9285744,0.1582492,0.14671648
0.08026159,0.3190502,0.9043393,0.009614415
0.042366862,0.7161799,0.392565,0.124478124
0.012828085,0.8985688,0.22618054,0.13243943
0.012566256,0.89786243,0.21470995,0.17248467
0.009499773,0.91289693,0.19622718,0.13387108
0.070290916,0.5316866,0.5491153,0.0985163
0.008812108,0.9256297,0.2046656,0.06891052
0.017146468,0.8244542,0.2273995,0.16773205
0.063929185,0.33057427,0.8934016,0.007303909
0.012103796,0.8804175,0.19551483,0.14090887
0.009506924,0.92722553,0.19164856,0.08315209
0.08248348,0.2804319,0.97285384,0.0019302948
0.061638176,0.24393111,0.99452084,0.0002434136
0.06744384,0.2922758,0.95793104,0.0027753464
0.11298001,0.39921227,0.8544342,0.02047476
0.059346,0.30377033,0.9694189,0.0014882244
0.10748746,0.54219586,0.6763105,0.058055267
0.02516272,0.7873525,0.22013432,0.34198073
0.011672365,0.8980827,0.22345181,0.12424833
0.08152375,0.37772527,0.7073947,0.033276644
0.015861118,0.8719813,0.26655242,0.07256112
0.026913682,0.83806837,0.3660666,0.068404414
0.042976335,0.69855696,0.3890679,0.09672941
0.01412112,0.8684487,0.22430156,0.17376435
0.007631037,0.9334206,0.16312873,0.0889251
0.08026129,0.43672442,0.6411529,0.051763404
0.014398102,0.8513945,0.25772342,0.13981521
0.027997274,0.79155725,0.29477403,0.070570216
0.0073984535,0.9379596,0.18005502,0.082624964
0.013722946,0.87967414,0.25354493,0.11298954
0.034190208,0.779996,0.44103557,0.07701139
0.0077534677,0.93356323,0.18829851,0.086422294
0.016291011,0.86721665,0.25552264,0.21780933
0.0153071815,0.87538093,0.24076925,0.14401162
0.018098162,0.779517,0.24375471,0.20729378
0.10661925,0.53750885,0.6149107,0.059321627
0.010901643,0.92552245,0.1726574,0.13873203
0.09413437,0.37944633,0.7211539,0.024717925
0.016734006,0.82393646,0.25185078,0.16674985
0.008215772,0.9247184,0.17832337,0.10529732
0.010883026,0.9001829,0.2008096,0.13772571
0.024381211,0.81934404,0.36297113,0.08610871
0.07493618,0.662569,0.5642079,0.074196056
0.009977172,0.93239635,0.19537015,0.13896129
0.024502171,0.83476806,0.3656522,0.079671845
0.065610364,0.27948564,0.9833981,0.0011345105
0.086905666,0.42178464,0.62110704,0.058285717
0.011671725,0.9128629,0.21518274,0.106416166
0.014479024,0.89371353,0.20523064,0.13982607
0.099644855,0.43948516,0.6671301,0.05841671
0.018781535,0.8222132,0.23420382,0.255304
0.010128307,0.8974109,0.17052439,0.12279025
0.013756469,0.9137368,0.20528223,0.10226741
0.010497915,0.91324836,0.19196779,0.14048737
0.10694887,0.48812994,0.66872525,0.04482834
0.10468708,0.3748025,0.8326237,0.022490721
0.01166156,0.8878284,0.2697098,0.12559801
0.048077006,0.6669157,0.39155006,0.08242685
0.008244578,0.9384321,0.17069098,0.07386151
0.09002607,0.30804873,0.7729661,0.017402291
0.084806904,0.5200678,0.59640205,0.13716215
0.009433571,0.91913915,0.18218696,0.10736964
0.04233867,0.74355835,0.3567892,0.09823423
0.07469779,0.48504987,0.5984868,0.06472368
0.0075462805,0.9365583,0.15542306,0.11581716
0.019026317,0.85886383,0.25764924,0.10049827
0.027430687,0.82467586,0.2899301,0.10234499
0.009378604,0.92568785,0.17913164,0.117743604
0.01232003,0.90042037,0.2177802,0.17807618
0.0076398016,0.94148654,0.17284873,0.085559875
0.020581167,0.814101,0.25861096,0.3107933
0.11586108,0.37437913,0.886634,0.012438334
0.011443401,0.8790549,0.18947312,0.10147492
0.11980408,0.45952138,0.8179483,0.037979897
0.0064669354,0.94880354,0.15440331,0.084115006
0.014220321,0.8885863,0.24169633,0.07401981
0.005778665,0.95338374,0.15157288,0.077353604
0.011305857,0.9073125,0.18625775,0.14120583
0.0102774175,0.92670906,0.1822895,0.1125677
0.01948649,0.8087468,0.22549742,0.2793923
0.078026325,0.5373583,0.5306693,0.092650555
0.022992624,0.8678255,0.25768858,0.14007322
0.005958571,0.95353657,0.15517873,0.085767545
0.07880293,0.38996676,0.69535017,0.034188725
0.09108413,0.34816134,0.85315555,0.0124975415
0.014350164,0.8841721,0.18096632,0.18172818
0.011388306,0.91275007,0.18257874,0.12682824
0.074850045,0.31751597,0.93720853,0.004871341
0.014002283,0.8736295,0.19982123,0.1717303
0.12387493,0.46873075,0.73522365,0.042502668
0.012192616,0.9027789,0.19052075,0.16641153
0.05294837,0.629747,0.41370127,0.08294595
0.014365305,0.8910237,0.2271715,0.108695455
0.030932592,0.812628,0.32068112,0.136219
0.02045072,0.79665834,0.23229888,0.23820063
0.012336948,0.90592426,0.20841704,0.08959787
0.076539665,0.38789824,0.6802926,0.04865302
0.018133832,0.8537258,0.32273448,0.05978701
0.015005752,0.8796816,0.2553917,0.11655488
0.00993445,0.9089064,0.19418567,0.102977954
0.020561282,0.8215459,0.23009472,0.2634733
0.009683432,0.91029483,0.20765233,0.10887018
0.0639068,0.692365,0.5841364,0.0475097
0.014407578,0.8860844,0.25527185,0.09897273
0.022869084,0.8026586,0.3212098,0.07001899
0.07667398,0.32794416,0.81970364,0.01783151
0.008180085,0.9341733,0.16820644,0.12361156
0.03778347,0.670191,0.4372863,0.065155275
0.09454569,0.3480313,0.8258376,0.01443162
0.011159251,0.90097,0.23837037,0.06998929
0.009863677,0.9296897,0.18790567,0.14292677
0.017740529,0.8276738,0.22439009,0.19697386
0.09329499,0.32226,0.8376314,0.0106651625
0.0105193695,0.9045297,0.20241223,0.10924236
0.009111062,0.9265969,0.17524245,0.10491808
0.0088108145,0.9285694,0.19085582,0.074846484
0.090447254,0.3212517,0.88533837,0.010589537
0.013758202,0.8794218,0.22071213,0.16576765
0.0149549935,0.86683095,0.23257154,0.1957914
0.11684762,0.4158812,0.7635791,0.040390234
0.07765409,0.47720167,0.58530086,0.058627397
0.013707439,0.86593384,0.20495337,0.18596241
0.01592221,0.7767727,0.22993958,0.5104356
0.0744645,0.47744477,0.50579774,0.060673412
0.0059728827,0.95331126,0.15515123,0.07588606
0.012003227,0.917948,0.19061407,0.1776592
0.018693214,0.793014,0.23388892,0.22173627
0.019606544,0.8398782,0.27832702,0.08704342
0.07340461,0.30476728,0.94043404,0.0039163507
0.017778765,0.8624268,0.2745187,0.18474582
0.07393892,0.34443948,0.91377515,0.009320627
0.021461856,0.84719783,0.2758787,0.1436574
0.014350811,0.8770505,0.2013657,0.20728604
0.026817806,0.82180023,0.32091263,0.1173409
0.0063888663,0.94636947,0.1457123,0.08008954
0.074679986,0.30379152,0.9689748,0.0020459692
0.0066048596,0.94170433,0.16556741,0.0732101
0.012835464,0.9070811,0.2104166,0.20524108
0.014980611,0.8745724,0.2514511,0.113010116
0.0095492285,0.91712683,0.19061969,0.14514409
0.018322041,0.8108228,0.24575363,0.235089
0.00853942,0.9283404,0.18249923,0.07266941
0.058468178,0.7021243,0.63662803,0.069434516
0.1022199,0.392007,0.71264905,0.033827018
0.008374337,0.92339504,0.17373782,0.09850211
0.088232495,0.36050326,0.8286549,0.015100218
0.057907436,0.27312994,0.99505585,0.00030828133
0.018253364,0.82567644,0.21913472,0.23711088
0.015532524,0.87187743,0.21313025,0.1676812
0.0721637,0.4903985,0.5522019,0.0882017
0.015798138,0.81143206,0.21013428,0.14985132
0.021556389,0.8341768,0.21094702,0.27029297
0.067664936,0.5237767,0.55147773,0.07085518
0.022392709,0.840619,0.28191674,0.121172436
0.015547538,0.84468806,0.22649905,0.13644809
0.07088432,0.6168862,0.4826437,0.123479
0.021594334,0.8143685,0.20091347,0.4669739
0.035509232,0.81083715,0.34089324,0.16585684
0.02013365,0.85771835,0.27599725,0.12444348
0.016453777,0.81810355,0.21825282,0.2081002
0.08842522,0.37993556,0.70718294,0.03524853
0.015698964,0.8620666,0.2603001,0.17894834
0.07323468,0.33293793,0.89772874,0.008069294
0.011239939,0.86410344,0.22593023,0.10652874
0.07534154,0.5778296,0.53988934,0.07353998
0.013654728,0.8798433,0.26582137,0.13307193
0.035163924,0.7455834,0.34104633,0.10331529
0.008939967,0.9242514,0.1694169,0.08970656
0.018111667,0.8095178,0.24865656,0.22236449
0.07354645,0.28051737,0.977066,0.0012036884
0.015901027,0.8155759,0.20963915,0.1923946
0.012195983,0.9022283,0.22119388,0.16306578
0.017043302,0.8464117,0.22691122,0.2051053
0.010940304,0.9033201,0.18532237,0.15253028
0.0145180905,0.899814,0.23275493,0.0817537
0.010995988,0.9141079,0.17881383,0.1260726
0.099894,0.36035132,0.7936871,0.022906236
0.05329451,0.7313295,0.5083507,0.049990065
0.017011076,0.8557276,0.24131651,0.18635045
0.022362828,0.8440415,0.27840295,0.29624528
0.06413804,0.2646426,0.9953604,0.00031824433
0.008643958,0.92827004,0.16066808,0.11520011
0.05245391,0.75545514,0.34161824,0.13098404
0.015926437,0.87418824,0.2719458,0.1193994
0.020812612,0.8025395,0.24915218,0.2358464
0.0067949947,0.94686115,0.15341987,0.08913109
0.023618663,0.8340706,0.24831232,0.23292115
0.014045365,0.88399506,0.25680918,0.15256985
0.03555688,0.74921674,0.30360565,0.08147439
0.034015182,0.8097441,0.31198922,0.12478914
0.007463363,0.94296235,0.16992709,0.07375172
0.02174345,0.8035598,0.20507431,0.3882385
0.023058813,0.84366274,0.28556463,0.12274118
0.097866185,0.374689,0.7471987,0.0306915
0.094835214,0.45241338,0.68044186,0.052749436
0.09155491,0.42653462,0.724765,0.044527635
0.0080291955,0.9222197,0.16207224,0.09747968
0.0073609324,0.94045395,0.15647915,0.08502935
0.01601222,0.84721196,0.2569675,0.07989091
0.09532528,0.3562566,0.7295379,0.021129187
0.06382875,0.29343224,0.9474401,0.0030166414
0.10004769,0.52818257,0.6020653,0.065685995
0.041546993,0.78294575,0.42048252,0.08198787
0.07805695,0.58465964,0.5576881,0.13915534
0.079379424,0.41760975,0.6473408,0.04594396
0.0060729617,0.9506135,0.15181908,0.075820655
0.10213484,0.48694077,0.6618826,0.053828683
0.013400161,0.86407864,0.23662294,0.13991517
0.08634385,0.29365146,0.97460264,0.0019790311
0.011679375,0.9115177,0.20409398,0.10059112
0.014951797,0.86238533,0.2449914,0.077021286
0.07838967,0.2660801,0.99495614,0.00038586566
0.023227528,0.78080726,0.20068374,0.64277196
0.009465323,0.9068667,0.20639169,0.10793012
0.015232392,0.8492888,0.22743511,0.1770481
0.08148917,0.40678087,0.64958465,0.047529306
0.020975528,0.874019,0.2514856,0.20704116
0.009936944,0.93253535,0.18584687,0.09900748
0.009574079,0.9207637,0.17062305,0.14850649
0.025580525,0.8316252,0.29134434,0.07616955
0.069085814,0.33310476,0.8264098,0.015991114
0.02505039,0.8278535,0.35065278,0.065398395
0.0063349046,0.95139986,0.15637141,0.07109614
0.0151543375,0.8650918,0.19048935,0.21089768
0.022840848,0.7662843,0.26218033,0.25482982
0.009262051,0.9198267,0.1627791,0.12409091
0.010568325,0.9255116,0.17916948,0.0916821
0.01750713,0.8577314,0.21062092,0.22455652
0.11248196,0.40770727,0.73602116,0.039457463
0.07980364,0.30745587,0.8788711,0.008757616
0.015136414,0.8873868,0.19234602,0.22798
0.08124295,0.34455875,0.76142955,0.024164734
0.027740546,0.8088369,0.3070016,0.09009925
0.081885725,0.58539,0.5648909,0.06164564
0.01821806,0.8790933,0.22894193,0.110923335
0.019629184,0.8592002,0.20712103,0.26519924
0.009182052,0.93463755,0.17312235,0.08648529
0.014013993,0.8871086,0.21386029,0.18374772
0.016894516,0.8778291,0.18935272,0.22949888
0.071058154,0.3814578,0.64365107,0.040226784
0.016875511,0.8441533,0.25063577,0.09495826
0.10774803,0.5345137,0.59176934,0.071537994
0.018281441,0.8360809,0.25441703,0.2190703
0.024824306,0.8400995,0.26202467,0.12374533
0.10613061,0.487195,0.67506194,0.06735378
0.018458327,0.87011796,0.21664257,0.21249089
0.009628357,0.92646205,0.17331482,0.12117759
0.011918043,0.89257973,0.2330973,0.06930513
0.011081761,0.9196852,0.18405938,0.16138819
0.044358406,0.7479763,0.38548917,0.08688301
0.008225884,0.9292362,0.16558748,0.10511362
0.016508238,0.86371523,0.21530893,0.21127206
0.040119994,0.8418124,0.3103967,0.18490614
0.023004083,0.80077547,0.23191452,0.59196717
0.015663957,0.8806746,0.24013302,0.101195835
0.07382345,0.27679878,0.9948944,0.0003080419
0.014133301,0.8723379,0.20919749,0.17691404
0.013504437,0.8856878,0.23283385,0.08215454
0.015934525,0.87461483,0.20034282,0.21721102
0.018908296,0.83359915,0.28097096,0.19124989
0.010488091,0.9112323,0.17893839,0.14617085
0.0074409386,0.9397398,0.15601549,0.08691066
0.0973182,0.41400528,0.71778345,0.0402215
0.06767369,0.29434684,0.96475893,0.0023634296
0.114787646,0.3816538,0.8139605,0.022077465
0.014274069,0.8938776,0.18088362,0.18446921
0.0078628315,0.92312086,0.17268687,0.08898008
0.008173973,0.93985707,0.17309552,0.09632866
0.016242389,0.8163038,0.21109891,0.20391811
0.050004378,0.6691119,0.42774022,0.07091107
0.015042389,0.83799064,0.20765792,0.14265166
0.017636398,0.80172986,0.20717114,0.20262589
0.014096273,0.8228668,0.23001514,0.16189553
0.011028825,0.90384704,0.1810319,0.13927908
0.008425956,0.92243034,0.21562073,0.12186349
0.020963805,0.7953444,0.22977272,0.5224177
0.08115566,0.5707492,0.5495321,0.079958804
0.07616758,0.42339644,0.63775915,0.061210833
0.01585065,0.86551905,0.19710454,0.17818615
0.024009688,0.8554811,0.29719263,0.08982099
0.005897126,0.9523137,0.15094565,0.07810677
0.028830966,0.788162,0.3441379,0.078309305
0.014659342,0.8669762,0.19406082,0.19797911
0.016592663,0.8458124,0.20814995,0.19341314
0.019802555,0.89308167,0.25125724,0.15319186
0.016581371,0.86921436,0.21584204,0.208533
0.05756664,0.70789057,0.5144233,0.0625589
0.013063097,0.9059899,0.1754657,0.20257886
0.018643612,0.8227642,0.22293775,0.2188955
0.101338305,0.5030643,0.64502776,0.0599022
0.060989078,0.33402482,0.875086,0.009499621
0.08887887,0.33434543,0.94855815,0.005036209
0.07229537,0.33158135,0.8210676,0.016918568
0.016554147,0.88097525,0.21000777,0.18138091
0.06332144,0.53728265,0.5326592,0.07600054
0.010896494,0.9288339,0.18900351,0.10168673
0.03499471,0.79465187,0.3443717,0.1326562
0.0101969335,0.9102809,0.17712055,0.11440906
0.00952174,0.90921897,0.1739046,0.12018763
0.07322132,0.3337789,0.8399658,0.009804345
0.01771449,0.81572014,0.24526806,0.20862746
0.087948084,0.32294542,0.83625615,0.0139341
0.008546488,0.93112725,0.18706906,0.084665164
0.018435603,0.85136586,0.20709695,0.25095955
0.00864627,0.92452186,0.17088827,0.12581472
0.008867649,0.92855126,0.18470147,0.104083024
0.064814955,0.30762973,0.89452493,0.007383848
0.070367455,0.32138136,0.93676746,0.0039450303
0.009866347,0.915287,0.20282249,0.07934847
0.0152825555,0.8779,0.21363203,0.19943845
0.07894551,0.587221,0.49736962,0.07330424
0.012348958,0.87956583,0.27491787,0.102142654
0.09986421,0.4477616,0.6423104,0.06020115
0.09598462,0.51410526,0.5714084,0.09656917
0.017665485,0.850237,0.21720707,0.19042887
0.0865915,0.39032525,0.7710395,0.03283523
0.0090598175,0.921166,0.19683667,0.07490398
0.068431266,0.6602922,0.49780527,0.16620463
0.02150596,0.7949165,0.23629943,0.39875156
0.07295634,0.2945309,0.9740443,0.002018958
0.08898568,0.29358166,0.94357413,0.0044005853
0.008002888,0.91720873,0.21782248,0.0953349
0.013327242,0.9022562,0.23811302,0.17727405
0.06745903,0.3054099,0.9670484,0.0017568549
0.027936047,0.7967765,0.50924003,0.04812703
0.008564787,0.92509806,0.18748833,0.06182798
0.027709465,0.817089,0.32584572,0.11292995
0.020633629,0.81036896,0.22203977,0.24536988
0.0056162695,0.9481085,0.16275854,0.07220102
0.020644788,0.8377727,0.23190309,0.26804754
0.10956637,0.4379469,0.69196504,0.04296506
0.023930263,0.81800216,0.20544015,0.3937252
0.06513631,0.51193595,0.5743266,0.07979352
0.087122686,0.5569512,0.87706834,0.012280583
0.008847162,0.9355709,0.17925197,0.08783273
0.00856571,0.9214842,0.20795757,0.09498311
0.0590046,0.5982726,0.47674677,0.07180168
0.03985264,0.65163916,0.4557232,0.07531539
0.07275723,0.30434424,0.9105121,0.0064163334
0.02322902,0.8461197,0.35983106,0.0710942
0.0122700455,0.88440746,0.23543853,0.09422503
0.021476163,0.864692,0.27056485,0.09000352
0.014282444,0.87660086,0.24345665,0.1587278
0.009129959,0.9334524,0.17702869,0.08593453
0.012893719,0.89819163,0.21677886,0.16890594
0.05998082,0.679013,0.5080091,0.079522155
0.08786398,0.65077114,0.5707015,0.06921387
0.049246922,0.65629524,0.40624088,0.07778263
0.008313043,0.93900776,0.17218134,0.10088978
0.007927164,0.9098145,0.19253695,0.084826
0.08250203,0.40358096,0.71299446,0.054741766
